LLM/sandbox/Gemini/_utils.py:1: unused import 'asyncio' (90% confidence, 1 line)
tests/FoSpy/blocks/test_containers.py:41: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/blocks/test_containers.py:55: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/blocks/test_containers.py:69: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/blocks/test_containers.py:83: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/blocks/test_containers.py:97: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/blocks/test_containers.py:111: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/blocks/test_containers.py:125: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/blocks/test_containers.py:139: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/blocks/test_containers.py:153: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/blocks/test_data.py:3: unused import 'FoSpy' (90% confidence, 1 line)
tests/FoSpy/blocks/test_data.py:13: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/blocks/test_data.py:27: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/blocks/test_files.py:3: unused import 'FoSpy' (90% confidence, 1 line)
tests/FoSpy/blocks/test_files.py:13: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/blocks/test_files.py:27: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/blocks/test_files.py:41: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/blocks/test_files.py:55: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/blocks/test_files.py:69: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/blocks/test_materials.py:3: unused import 'FoSpy' (90% confidence, 1 line)
tests/FoSpy/blocks/test_metadata.py:3: unused import 'FoSpy' (90% confidence, 1 line)
tests/FoSpy/blocks/test_synthesis.py:3: unused import 'FoSpy' (90% confidence, 1 line)
tests/FoSpy/blocks/test_template.py:3: unused import 'FoSpy' (90% confidence, 1 line)
tests/FoSpy/blocks/test_template.py:13: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/blocks/test_template.py:27: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/blocks/test_template.py:41: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/blocks/test_treatments.py:3: unused import 'FoSpy' (90% confidence, 1 line)
tests/FoSpy/blocks/test_treatments.py:13: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/blocks/test_treatments.py:27: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/blocks/test_treatments.py:41: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/blocks/test_treatments.py:55: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/blocks/test_treatments.py:69: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/blocks/test_treatments.py:83: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/blocks/test_treatments.py:97: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/code_example/conftest.py:123: unused attribute 'fos_id' (60% confidence, 1 line)
tests/FoSpy/code_example/conftest.py:124: unused attribute 'description' (60% confidence, 1 line)
tests/FoSpy/code_example/conftest.py:125: unused attribute 'project_id' (60% confidence, 1 line)
tests/FoSpy/code_example/conftest.py:128: unused attribute 'products' (60% confidence, 1 line)
tests/FoSpy/code_example/conftest.py:163: unused attribute 'affiliation' (60% confidence, 1 line)
tests/FoSpy/code_example/conftest.py:228: unused attribute 'anneal_sections' (60% confidence, 1 line)
tests/FoSpy/json/help/test_init.py:3: unused import 'FoSpy' (90% confidence, 1 line)
tests/FoSpy/json/help/test_init.py:13: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/json/test_core.py:3: unused import 'FoSpy' (90% confidence, 1 line)
tests/FoSpy/json/test_core.py:13: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/json/test_core.py:26: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/json/test_utils.py:3: unused import 'FoSpy' (90% confidence, 1 line)
tests/FoSpy/json/test_utils.py:13: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/json/test_utils.py:26: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/json/test_utils.py:39: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/json/test_utils.py:52: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/json/test_utils.py:65: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/parsing/test_format_fos.py:3: unused import 'FoSpy' (90% confidence, 1 line)
tests/FoSpy/parsing/test_format_fos.py:13: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/parsing/test_format_fos.py:26: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/parsing/test_format_fos.py:39: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/parsing/test_format_fos.py:52: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/parsing/test_format_fos.py:65: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/parsing/test_format_fos.py:78: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/parsing/test_format_fos.py:91: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/parsing/test_format_fos.py:104: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/parsing/test_format_fos.py:117: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/parsing/test_format_fos.py:130: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/parsing/test_format_fos.py:143: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/parsing/test_read.py:3: unused import 'FoSpy' (90% confidence, 1 line)
tests/FoSpy/parsing/test_read.py:13: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/parsing/test_read.py:26: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/parsing/test_read.py:39: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/parsing/test_regex.py:3: unused import 'FoSpy' (90% confidence, 1 line)
tests/FoSpy/parsing/test_regex.py:13: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/parsing/test_regex.py:26: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/parsing/test_regex.py:39: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/parsing/test_regex.py:52: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/parsing/test_regex.py:65: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/parsing/test_regex.py:78: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/parsing/test_regex.py:91: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/parsing/test_regex.py:104: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/parsing/test_regex.py:117: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/parsing/test_regex.py:130: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/parsing/test_write.py:3: unused import 'FoSpy' (90% confidence, 1 line)
tests/FoSpy/parsing/test_write.py:13: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/parsing/test_write.py:26: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/parsing/test_write.py:39: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/parsing/test_write.py:52: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/parsing/validators/test_filenames.py:3: unused import 'FoSpy' (90% confidence, 1 line)
tests/FoSpy/parsing/validators/test_filenames.py:13: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/parsing/validators/test_filenames.py:26: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/parsing/validators/test_material.py:3: unused import 'FoSpy' (90% confidence, 1 line)
tests/FoSpy/parsing/validators/test_material.py:13: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/parsing/validators/test_numbers.py:3: unused import 'FoSpy' (90% confidence, 1 line)
tests/FoSpy/parsing/validators/test_numbers.py:13: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/parsing/validators/test_numbers.py:26: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/parsing/validators/test_numbers.py:39: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/parsing/validators/test_rename.py:3: unused import 'FoSpy' (90% confidence, 1 line)
tests/FoSpy/parsing/validators/test_rename.py:13: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/parsing/validators/test_units.py:3: unused import 'FoSpy' (90% confidence, 1 line)
tests/FoSpy/parsing/validators/test_units.py:13: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/parsing/validators/test_units.py:26: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/parsing/validators/test_units.py:39: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/parsing/validators/test_units.py:53: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/plotting/diffraction/engines/test_base.py:3: unused import 'FoSpy' (90% confidence, 1 line)
tests/FoSpy/plotting/diffraction/engines/test_cif2xrd.py:3: unused import 'FoSpy' (90% confidence, 1 line)
tests/FoSpy/plotting/diffraction/engines/test_cif2xrd.py:13: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/plotting/diffraction/engines/test_dans_diffraction.py:3: unused import 'FoSpy' (90% confidence, 1 line)
tests/FoSpy/plotting/diffraction/engines/test_dans_diffraction.py:13: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/plotting/diffraction/engines/test_pymatgen.py:3: unused import 'FoSpy' (90% confidence, 1 line)
tests/FoSpy/plotting/diffraction/engines/test_pymatgen.py:13: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/plotting/diffraction/engines/test_pymatgen.py:27: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/plotting/diffraction/phase_match/test_init.py:3: unused import 'FoSpy' (90% confidence, 1 line)
tests/FoSpy/plotting/diffraction/phase_match/test_init.py:13: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/plotting/diffraction/phase_match/test_init.py:27: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/plotting/diffraction/phase_match/test_init.py:41: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/plotting/diffraction/phase_match/test_init.py:55: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/plotting/diffraction/phase_match/test_utils.py:3: unused import 'FoSpy' (90% confidence, 1 line)
tests/FoSpy/plotting/diffraction/phase_match/test_utils.py:13: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/plotting/diffraction/phase_match/test_utils.py:26: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/plotting/diffraction/phase_match/test_utils.py:39: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/plotting/diffraction/phase_match/test_utils.py:52: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/plotting/diffraction/phase_match/test_utils.py:65: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/plotting/diffraction/ui/test_baseline.py:3: unused import 'FoSpy' (90% confidence, 1 line)
tests/FoSpy/plotting/diffraction/ui/test_baseline.py:13: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/plotting/diffraction/ui/test_baseline.py:26: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/plotting/diffraction/ui/test_baseline.py:40: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/plotting/diffraction/ui/test_baseline.py:54: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/plotting/diffraction/ui/test_peaks.py:3: unused import 'FoSpy' (90% confidence, 1 line)
tests/FoSpy/plotting/diffraction/ui/test_peaks.py:13: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/plotting/diffraction/ui/test_peaks.py:26: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/plotting/diffraction/ui/test_peaks.py:40: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/plotting/diffraction/ui/test_peaks.py:54: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/plotting/diffraction/ui/test_peaks.py:68: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/plotting/diffraction/ui/test_specs.py:3: unused import 'FoSpy' (90% confidence, 1 line)
tests/FoSpy/plotting/diffraction/ui/test_specs.py:13: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/plotting/diffraction/ui/test_specs.py:26: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/plotting/diffraction/ui/test_specs.py:39: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/plotting/test_utils.py:3: unused import 'FoSpy' (90% confidence, 1 line)
tests/FoSpy/plotting/test_utils.py:13: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/ui/test_abstract.py:3: unused import 'FoSpy' (90% confidence, 1 line)
tests/FoSpy/ui/test_abstract.py:13: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/ui/test_abstract.py:26: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/ui/test_abstract.py:39: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/ui/test_abstract.py:53: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/ui/test_abstract.py:67: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/ui/test_abstract.py:81: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/ui/test_abstract.py:95: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/ui/test_abstract.py:109: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/ui/test_abstract.py:123: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/ui/test_abstract.py:137: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/ui/test_abstract.py:151: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/ui/test_abstract.py:165: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/ui/test_abstract.py:179: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/ui/test_abstract.py:193: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/ui/test_abstract.py:207: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/ui/test_abstract.py:221: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/ui/test_abstract.py:235: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/ui/test_abstract.py:249: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/ui/test_abstract.py:263: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/ui/test_abstract.py:277: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/ui/test_abstract.py:291: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/ui/test_abstract.py:305: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/ui/test_abstract.py:319: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/ui/test_abstract.py:333: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/ui/test_abstract.py:347: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/ui/test_matplotlib.py:3: unused import 'FoSpy' (90% confidence, 1 line)
tests/FoSpy/ui/test_matplotlib.py:13: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/ui/test_matplotlib.py:13: unused variable 'slider_width' (100% confidence, 1 line)
tests/FoSpy/ui/test_matplotlib.py:26: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/ui/test_matplotlib.py:39: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/ui/test_matplotlib.py:52: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/ui/test_matplotlib.py:66: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/ui/test_matplotlib.py:80: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/ui/test_matplotlib.py:94: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/ui/test_matplotlib.py:108: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/ui/test_matplotlib.py:122: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/ui/test_matplotlib.py:136: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/ui/test_matplotlib.py:150: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/ui/test_matplotlib.py:164: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/ui/test_matplotlib.py:178: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/ui/test_matplotlib.py:192: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/ui/test_matplotlib.py:206: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/ui/test_matplotlib.py:220: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/ui/test_matplotlib.py:234: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/ui/test_matplotlib.py:248: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/ui/test_matplotlib.py:262: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/ui/test_matplotlib.py:276: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/ui/test_matplotlib.py:290: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/ui/test_matplotlib.py:304: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/ui/test_matplotlib.py:318: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/ui/test_matplotlib.py:332: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/ui/test_matplotlib.py:346: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/ui/test_matplotlib.py:360: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/ui/test_matplotlib.py:374: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/ui/test_pyqtgraph.py:3: unused import 'FoSpy' (90% confidence, 1 line)
tests/FoSpy/ui/test_pyqtgraph.py:13: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/ui/test_pyqtgraph.py:26: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/ui/test_pyqtgraph.py:40: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/ui/test_pyqtgraph.py:54: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/ui/test_pyqtgraph.py:68: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/ui/test_pyqtgraph.py:82: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/ui/test_pyqtgraph.py:96: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/ui/test_pyqtgraph.py:110: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/ui/test_pyqtgraph.py:124: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/ui/test_pyqtgraph.py:138: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/ui/test_pyqtgraph.py:152: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/ui/test_pyqtgraph.py:166: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/ui/test_pyqtgraph.py:180: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/ui/test_pyqtgraph.py:194: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/ui/test_pyqtgraph.py:208: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/ui/test_pyqtgraph.py:222: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/ui/test_pyqtgraph.py:236: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/ui/test_pyqtgraph.py:250: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/ui/test_pyqtgraph.py:264: unused variable 'expected' (100% confidence, 1 line)
